Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Country	Continent	Domain	Phylum	Class	Order	Family	Genus	Species
MGYG000303967	MAG	2115454	123	30370	36.89	99.03	0.09	0	0	0	17	China	Asia	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus crispatus
MGYG000303968	MAG	1793951	26	95810	60.91	95.97	0.81	0	0	0	20	China	Asia	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Berryella	Berryella sp900604965
MGYG000303969	MAG	1312459	14	185075	51.88	99.6	0	0	0	0	20	China	Asia	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Atopobium	Atopobium deltae
MGYG000303970	MAG	1460963	16	201799	56.14	97.41	0	0	0	0	20	China	Asia	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Arcanobacterium	Arcanobacterium sp000758825
MGYG000303971	MAG	1563389	15	158432	42	88.3	0	88.24	0	99.79	20	China	Asia	Bacteria	Bacillota	Clostridia	Saccharofermentanales	Fastidiosipilaceae	KA00274	KA00274 sp902373515
MGYG000303972	MAG	2239642	156	19342	39.31	96.29	0.17	0	0	0	15	China	Asia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella disiens
MGYG000303973	MAG	543316	105	6037	27.39	82.65	0	0	0	0	16	China	Asia	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Metamycoplasmataceae	Metamycoplasma	Metamycoplasma hominis
MGYG000303974	MAG	1980054	50	68698	38.78	99.53	0.65	0	0	0	17	China	Asia	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus anginosus
MGYG000303975	MAG	1733801	9	446718	34.42	99.22	0	0	0	0	18	China	Asia	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii
MGYG000303976	MAG	1659626	16	195270	46.21	100	0	0	0	0	20	China	Asia	Bacteria	Bacillota	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	Megasphaera lornae
MGYG000303977	MAG	1903553	297	7577	48.12	82.53	1.65	0	0	0	19	China	Asia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Muribaculaceae	Sodaliphilus	NA
MGYG000303978	MAG	1489168	8	395307	42.48	100	0	0	0	0	20	China	Asia	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	Fannyhessea vaginae
MGYG000303979	MAG	2132685	9	556701	55.58	100	1.42	0	0	0	20	China	Asia	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Mobiluncus	Mobiluncus curtisii
MGYG000303980	MAG	1647338	88	28224	41.82	99.28	0.68	0	0	0	20	China	Asia	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000303981	MAG	1300830	17	134665	30.23	99.05	0	0	0	0	20	China	Asia	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	NA
MGYG000303982	MAG	1428822	29	76146	39.24	89.6	0	94.12	0	0	19	China	Asia	Bacteria	Bacillota	Clostridia	Saccharofermentanales	Fastidiosipilaceae	KA00274	KA00274 sp001552885
MGYG000303983	MAG	1725895	28	82163	34.8	100	0	93.28	0	0	17	China	Asia	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus tetradius
MGYG000303984	MAG	1601442	35	83410	39.19	96.75	0.32	0	0	0	17	China	Asia	Bacteria	Bacillota	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister sp001553355
MGYG000303985	MAG	1627494	102	24773	37.42	96.15	0	87.39	0	0	10	China	Asia	Bacteria	Bacillota	Clostridia	Peptostreptococcales	Peptostreptococcaceae	Peptostreptococcus	Peptostreptococcus sp000758885
MGYG000303986	MAG	1235454	274	4606	42.92	55.56	0.14	0	0	0	7	China	Asia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella ihumii
MGYG000303987	MAG	1620171	28	83701	44.55	93.74	0.71	0	0	0	20	China	Asia	Bacteria	Bacillota	Clostridia	Saccharofermentanales	Fastidiosipilaceae	Mageeibacillus	Mageeibacillus indolicus
MGYG000303988	MAG	1593532	94	28764	35.52	84.82	0	0	0	0	14	China	Asia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella amnii
MGYG000303989	MAG	2299318	135	27411	48.58	96.08	1.08	0	0	0	18	China	Asia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA
MGYG000303990	MAG	2218923	13	273200	56.88	99.05	0.99	0	0	0	20	China	Asia	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Mobiluncus	NA
MGYG000303991	MAG	1433753	24	129057	42.7	90.34	0	0	0	0	20	China	Asia	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	NA
MGYG000303992	MAG	1410555	176	11386	52.2	66.11	0.53	0	0	0	17	China	Asia	Bacteria	Bacillota	Peptococcia	Peptococcales	Peptococcaceae	Peptococcus	Peptococcus niger
MGYG000303993	MAG	2444973	72	71733	31.9	99.81	0.05	94.96	0	0	14	China	Asia	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
MGYG000303994	MAG	1522344	9	406537	42.38	100	0	0	0	0	20	China	Asia	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium piotii
MGYG000303995	MAG	1522623	36	123183	39.06	98.26	0	0	0	0	20	China	Asia	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Aerococcus	Aerococcus christensenii
MGYG000303996	MAG	2187650	59	62620	39.31	99.32	0.51	0	0	0	19	China	Asia	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella bivia
MGYG000303997	MAG	1449184	99	23286	31.12	71.68	0.05	0	0	0	17	China	Asia	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	UBA629	UBA629 sp005465875
MGYG000303998	MAG	1493942	62	39748	34.18	98.76	0	0	0	0	17	China	Asia	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus jensenii
MGYG000303999	MAG	1423838	106	20192	34.82	90.91	1.05	0	0	0	14	China	Asia	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Fenollaria	Fenollaria massiliensis
MGYG000304000	MAG	1805266	54	52524	40.07	97.37	0.54	0	0	0	15	China	Asia	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus portuensis
MGYG000304001	MAG	1486389	58	41505	45.59	93.76	3.36	0	0	0	19	China	Asia	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000304002	MAG	1864885	23	138608	37.09	100	0	0	0	0	19	China	Asia	Bacteria	Bacillota	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella montpellierensis
MGYG000304003	MAG	1234743	182	8437	34.88	82.52	1.4	0	0	0	8	China	Asia	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus harei
MGYG000304004	MAG	1918752	283	8110	38.04	74.72	0.5	0	0	0	4	China	Asia	Bacteria	Bacillota	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis
MGYG000304005	MAG	1722708	291	6457	63.92	73.05	0.05	0	0	0	16	China	Asia	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	CAJPTP01	CAJPTP01 sp905373555
MGYG000304006	MAG	1234903	14	143449	35.25	99.91	0	83.19	0	10.6	19	China	Asia	Bacteria	Bacillota	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister micraerophilus
MGYG000304007	MAG	1541737	15	271989	43.29	99.39	0.61	0	0	99.83	20	China	Asia	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000304008	MAG	1733909	42	84372	34.43	99.3	0	0	0	0	18	China	Asia	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus vaginalis
MGYG000304009	MAG	1292575	49	42635	43.61	93.23	0	0	0	0	17	China	Asia	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000304010	MAG	1543999	45	53426	34.09	98.83	0	0	0	0	18	China	Asia	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus mulieris
MGYG000304011	MAG	2541238	47	106457	55.01	99.53	0.98	94.96	99.67	99.28	20	China	Asia	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Mobiluncus	Mobiluncus mulieris
MGYG000304012	MAG	1259313	113	18374	29.17	95.9	0.57	0	0	0	20	China	Asia	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	NA
MGYG000304013	MAG	746250	25	76671	47.41	63.68	0	0	99.74	99.56	19	China	Asia	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	NA
MGYG000304014	MAG	1431139	6	738802	49.57	100	0	0	0	0	20	China	Asia	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	NA
MGYG000304015	MAG	820661	11	130049	42.33	50.8	0	0	0	0	14	China	Asia	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000304016	MAG	1262702	15	162586	26.39	94.84	0.55	0	0	0	20	China	Asia	Bacteria	Bacillota	Bacilli	Staphylococcales	Gemellaceae	Gemella	Gemella asaccharolytica
MGYG000304017	MAG	1394066	20	105914	48.74	100	0	0	0	0	20	China	Asia	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	Fannyhessea massiliensis
MGYG000304018	MAG	2080673	28	106618	50.7	98.8	0.6	0	0	0	18	China	Asia	Bacteria	Bacillota	Negativicutes	Veillonellales	Megasphaeraceae	Anaeroglobus	Anaeroglobus vaginalis
MGYG000304019	MAG	1853746	29	184752	30.09	99.3	0	0	0	0	18	China	Asia	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Peptoniphilus	Peptoniphilus lacrimalis
MGYG000304020	MAG	1742960	108	21296	57.11	98.26	0.47	0	0	0	20	China	Asia	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Pauljensenia	Pauljensenia turicensis
MGYG000304021	MAG	1645480	57	42021	33.92	98.86	0.39	0	0	0	13	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Finegoldia	NA
MGYG000304022	MAG	2076942	132	20545	53.64	97.89	0.63	0	0	0	15	USA	North America	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Stomatobaculum	Stomatobaculum naviforme
MGYG000304023	MAG	1819439	39	100765	35.08	98.78	0.61	0	0	0	11	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus lactolyticus
MGYG000304024	MAG	1566416	17	170750	31.43	76.21	0	0	0	0	19	USA	North America	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	UBA629	UBA629 sp005465875
MGYG000304025	MAG	1126441	144	9695	28.54	89.78	1.12	0	0	0	11	USA	North America	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	Sneathia vaginalis
MGYG000304026	MAG	1381964	16	227142	48.9	100	0	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	Fannyhessea massiliensis
MGYG000304027	MAG	1503510	185	11762	65.54	74.14	1.03	0	0	0	15	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium sp001815985
MGYG000304028	MAG	1539829	36	62971	45.68	98.39	0.06	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000304029	MAG	2094085	38	76809	60.07	95.56	0.57	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Micrococcaceae	Pseudoglutamicibacter	Pseudoglutamicibacter albus
MGYG000304030	MAG	1422417	57	37819	37.95	78.88	0	0	0	0	15	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Ezakiella	Ezakiella massiliensis
MGYG000304031	MAG	1837765	361	5708	62.75	73.03	0.47	0	0	0	14	USA	North America	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Neisseriaceae	CAJPTP01	CAJPTP01 sp905373555
MGYG000304032	MAG	1910517	262	9143	67.01	84.09	2.69	0	0	0	16	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Nanchangia	Nanchangia sp900545825
MGYG000304033	MAG	1815876	37	102017	38.17	99.85	0	0	0	0	11	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes
MGYG000304034	MAG	2101137	100	31193	59.43	96.37	0.05	0	0	0	16	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium tuscaniense
MGYG000304035	MAG	1237761	73	29359	43.04	95.97	2.08	0	0	0	16	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	NA
MGYG000304036	MAG	2700122	237	14525	42.76	96.37	0	0	0	0	16	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella timonensis
MGYG000304037	MAG	1304031	125	14171	39.44	94.85	0	0	0	0	17	USA	North America	Bacteria	Bacillota	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister sp001553355
MGYG000304038	MAG	1193364	219	5799	33.58	73.39	0	0	0	0	12	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Ligilactobacillus	Ligilactobacillus salivarius
MGYG000304039	MAG	1679689	40	50645	40.58	98.91	0.54	0	0	0	14	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus vaginalis
MGYG000304040	MAG	2067686	165	18782	63.16	93.08	0.78	0	0	0	18	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Dermabacteraceae	Dermabacter	Dermabacter hominis
MGYG000304041	MAG	918966	8	208962	40.95	76.5	0	0	0	0	8	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus coleohominis
MGYG000304042	MAG	1195451	30	65595	35.06	99.24	0	0	0	0	19	USA	North America	Bacteria	Bacillota	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister micraerophilus
MGYG000304043	MAG	1663520	9	326771	46.34	98.99	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Berryella	Berryella sp001552935
MGYG000304044	MAG	1677623	181	13251	60.43	83.42	0.5	0	0	0	14	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Micrococcaceae	Pseudoglutamicibacter	Pseudoglutamicibacter cumminsii
MGYG000304045	MAG	1731730	39	96165	50.73	81.05	0.68	0	0	0	20	USA	North America	Bacteria	Bacillota	Peptococcia	Peptococcales	Peptococcaceae	Peptococcus	Peptococcus niger
MGYG000304046	MAG	1321259	164	9865	32.28	94.15	1.48	0	0	0	17	USA	North America	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter	Campylobacter hominis
MGYG000304047	MAG	2629021	108	40523	42.13	97.37	0.12	0	0	0	14	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella timonensis
MGYG000304048	MAG	1243308	173	9119	42.08	77.69	0.46	0	0	0	15	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	NA
MGYG000304049	MAG	1425967	16	145558	39.13	89.6	0	0	0	0	18	USA	North America	Bacteria	Bacillota	Clostridia	Saccharofermentanales	Fastidiosipilaceae	KA00274	KA00274 sp001552885
MGYG000304050	MAG	2239458	28	115522	58.72	96.67	0.48	0	0	0	19	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	CAJPTX01	Bacteroides	NA
MGYG000304051	MAG	1404753	20	111855	49.93	100	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	NA
MGYG000304052	MAG	1507265	39	66649	40.7	95.63	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000304053	MAG	1073369	194	6294	42.1	62.51	0.27	0	0	0	8	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	NA
MGYG000304054	MAG	795888	183	4337	37.82	51.17	0	0	0	0	6	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Ezakiella	Ezakiella coagulans
MGYG000304055	MAG	2638955	134	33311	47.66	98.84	0.43	0	0	0	18	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA
MGYG000304056	MAG	1750756	36	76803	38.83	99.53	0.35	0	0	0	14	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus anginosus
MGYG000304057	MAG	1286540	15	138820	32.52	98.86	0	0	0	0	16	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus iners
MGYG000304058	MAG	2447490	48	93092	64.84	97.99	0.66	0	0	0	14	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium sp001831515
MGYG000304059	MAG	2549023	86	57374	42.16	96.98	0	0	0	0	17	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella timonensis
MGYG000304060	MAG	1416541	22	155875	28.23	98.88	0	0	0	0	17	USA	North America	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia	Sneathia vaginalis
MGYG000304061	MAG	1357243	274	5254	49.37	57.7	0.71	0	0	0	7	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA
MGYG000304062	MAG	2121714	82	50854	59.75	95.9	2.83	0	0	0	15	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	NA
MGYG000304063	MAG	1490037	17	215146	42.42	100	0	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium piotii
MGYG000304064	MAG	701744	179	3807	40.89	52.22	0	0	0	0	9	USA	North America	Bacteria	Bacillota	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister sp001553355
MGYG000304065	MAG	2322852	27	177741	65.86	99.42	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Dermabacteraceae	Helcobacillus	NA
MGYG000304066	MAG	1966943	19	244129	58.61	96.18	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Lawsonella	Lawsonella sp018376445
MGYG000304067	MAG	1176563	87	23354	42.51	69.04	2.35	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium piotii
MGYG000304068	MAG	1518485	8	802904	42.56	100	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	Fannyhessea vaginae
MGYG000304069	MAG	1502525	118	18710	44.32	96.08	0	0	0	0	14	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Urinicoccus	Urinicoccus massiliensis
MGYG000304070	MAG	1322448	110	20552	28.01	84.55	1.42	0	0	0	8	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Helcococcus	Helcococcus sueciensis
MGYG000304071	MAG	2636126	230	16086	38.8	93.75	0.07	0	0	0	17	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA
MGYG000304072	MAG	2574045	221	16473	70.47	92.68	0.27	0	0	0	16	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Microbacteriaceae	Microbacterium	Microbacterium lacticum
MGYG000304073	MAG	2092480	144	21530	44.4	93.56	0.05	0	0	0	18	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella brunnea
MGYG000304074	MAG	2550723	88	50352	46.88	96.46	0.68	0	0	0	18	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Alloprevotella	Alloprevotella sp015259235
MGYG000304075	MAG	1942254	46	75417	52.4	95.99	1.27	0	0	0	20	USA	North America	Bacteria	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Stomatobaculum	Stomatobaculum sp002892395
MGYG000304076	MAG	1462355	51	54828	43.11	97.34	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000304077	MAG	1234083	284	4248	59.99	57.16	0	0	0	0	8	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium sp900539985
MGYG000304078	MAG	702464	7	135464	25.26	99.05	0	0	0	0	20	USA	North America	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Mycoplasmoidaceae	Ureaplasma	Ureaplasma parvum
MGYG000304079	MAG	1710123	21	106394	44.31	93.74	0	0	0	0	19	USA	North America	Bacteria	Bacillota	Clostridia	Saccharofermentanales	Fastidiosipilaceae	Mageeibacillus	Mageeibacillus indolicus
MGYG000304080	MAG	1418152	23	102884	48.79	100	0	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Coriobacteriia	Coriobacteriales	Atopobiaceae	Fannyhessea	NA
MGYG000304081	MAG	1908358	109	24893	35.39	97.87	0.3	0	0	0	14	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus agalactiae
MGYG000304082	MAG	1563720	258	7144	56.68	78.32	0.71	0	0	0	18	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	NA
MGYG000304083	MAG	775268	156	5458	39.36	59.74	0.85	0	0	0	2	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Falseniella	Falseniella ignava
MGYG000304084	MAG	2143098	80	38365	49.71	98.9	0	0	0	0	17	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus oris
MGYG000304085	MAG	1463463	121	16644	31.86	93.56	0.61	0	0	0	12	USA	North America	Bacteria	Bacillota	Clostridia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
MGYG000304086	MAG	1456862	39	51545	34.97	86.56	0	0	0	0	17	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri
MGYG000304087	MAG	578348	36	27937	26.57	90.98	0	0	0	0	17	USA	North America	Bacteria	Bacillota	Bacilli	Mycoplasmatales	Metamycoplasmataceae	Metamycoplasma	Metamycoplasma hominis
MGYG000304088	MAG	819220	59	17798	42.99	58.22	0	0	0	0	17	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	NA
MGYG000304089	MAG	1462254	33	98219	43.5	99.24	0.45	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium vaginale
MGYG000304090	MAG	652432	20	113097	47.07	54.7	0	0	0	0	18	USA	North America	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	NA
MGYG000304091	MAG	1841859	241	9340	41.67	85.87	0.98	0	0	0	11	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella ihumii
MGYG000304092	MAG	874149	199	4458	47.56	54.62	0	0	0	0	7	USA	North America	Bacteria	Bacillota	Negativicutes	Veillonellales	Megasphaeraceae	Megasphaera	Megasphaera lornae
MGYG000304093	MAG	1715922	143	16181	40.31	90.66	0.9	0	0	0	7	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mitis
MGYG000304094	MAG	2043528	43	87977	35.54	99.32	0	0	0	0	18	USA	North America	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella amnii
MGYG000304095	MAG	2283502	97	36716	59.87	99.54	0.69	0	0	0	19	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium longum
MGYG000304096	MAG	1710245	99	25479	40.32	96.74	0.54	0	0	0	13	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus portuensis
MGYG000304097	MAG	1327986	127	17090	39.44	95.16	0	0	0	0	15	USA	North America	Bacteria	Bacillota	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister sp001553355
MGYG000304098	MAG	1376066	119	16434	49.4	95.55	0.43	0	0	0	17	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Arcanobacterium	NA
MGYG000304099	MAG	2391508	24	162074	55.17	99.53	0.95	0	0	0	20	USA	North America	Bacteria	Actinomycetota	Actinomycetia	Actinomycetales	Actinomycetaceae	Mobiluncus	Mobiluncus mulieris
MGYG000304100	MAG	1270444	178	8557	41.46	73.1	0.51	0	0	0	6	USA	North America	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	NA
MGYG000304101	MAG	1334766	165	10105	39.47	95.48	0	0	0	0	17	USA	North America	Bacteria	Bacillota	Negativicutes	Veillonellales	Dialisteraceae	Dialister	Dialister sp001553355
