Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
MGYG000304033	MAG	1815876	37	102017	38.17	99.85	0.0	0.00	0.00	0.00	11	CAMXVO01	MGYG000304033	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pyogenes	SAMEA111539312	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304033/genomes1/MGYG000304033.gff.gz
MGYG000304034	MAG	2101137	100	31193	59.43	96.37	0.05	0.00	0.00	0.00	16	CAMXVP01	MGYG000304034	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium tuscaniense	SAMEA111539136	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304034/genomes1/MGYG000304034.gff.gz
MGYG000304035	MAG	1237761	73	29359	43.04	95.97	2.08	0.00	0.00	0.00	16	CAMXVQ01	MGYG000304035	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Fannyhessea;s__	SAMEA111539283	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304035/genomes1/MGYG000304035.gff.gz
MGYG000304036	MAG	2700122	237	14525	42.76	96.37	0.0	0.00	0.00	0.00	16	CAMXVR01	MGYG000303947	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella timonensis_A	SAMEA111539045	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303947/genomes1/MGYG000304036.gff.gz
MGYG000304037	MAG	1304031	125	14171	39.44	94.85	0.0	0.00	0.00	0.00	17	CAMXVS01	MGYG000304222	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp001553355	SAMEA111539199	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304222/genomes1/MGYG000304037.gff.gz
MGYG000304038	MAG	1193364	219	5799	33.58	73.39	0.0	0.00	0.00	0.00	12	CAMXVT01	MGYG000304038	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus salivarius	SAMEA111539309	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304038/genomes1/MGYG000304038.gff.gz
MGYG000304039	MAG	1679689	40	50645	40.58	98.91	0.54	0.00	0.00	0.00	14	CAMXVU01	MGYG000304039	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus vaginalis	SAMEA111539263	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304039/genomes1/MGYG000304039.gff.gz
MGYG000304040	MAG	2067686	165	18782	63.16	93.08	0.78	0.00	0.00	0.00	18	CAMXVV01	MGYG000304040	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Dermabacteraceae;g__Dermabacter;s__Dermabacter hominis	SAMEA111539231	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304040/genomes1/MGYG000304040.gff.gz
MGYG000304041	MAG	918966	8	208962	40.95	76.5	0.0	0.00	0.00	0.00	8	CAMXVW01	MGYG000304109	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus coleohominis_A	SAMEA111539316	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304109/genomes1/MGYG000304041.gff.gz
MGYG000304042	MAG	1195451	30	65595	35.06	99.24	0.0	0.00	0.00	0.00	19	CAMXVX01	MGYG000304006	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister micraerophilus	SAMEA111539017	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304006/genomes1/MGYG000304042.gff.gz
MGYG000304043	MAG	1663520	9	326771	46.34	98.99	0.0	0.00	0.00	0.00	20	CAMXVY01	MGYG000303961	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Berryella;s__Berryella sp001552935	SAMEA111539181	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303961/genomes1/MGYG000304043.gff.gz
MGYG000304044	MAG	1677623	181	13251	60.43	83.42	0.5	0.00	0.00	0.00	14	CAMXVZ01	MGYG000303819	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Pseudoglutamicibacter;s__Pseudoglutamicibacter cumminsii_A	SAMEA111539271	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303819/genomes1/MGYG000304044.gff.gz
MGYG000304045	MAG	1731730	39	96165	50.73	81.05	0.68	0.00	0.00	0.00	20	CAMXWA01	MGYG000304045	d__Bacteria;p__Bacillota_B;c__Peptococcia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus;s__Peptococcus niger	SAMEA111539188	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304045/genomes1/MGYG000304045.gff.gz
MGYG000304046	MAG	1321259	164	9865	32.28	94.15	1.48	0.00	0.00	0.00	17	CAMXWB01	MGYG000304046	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter_B;s__Campylobacter_B hominis	SAMEA111539243	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304046/genomes1/MGYG000304046.gff.gz
MGYG000304047	MAG	2629021	108	40523	42.13	97.37	0.12	0.00	0.00	0.00	14	CAMXWC01	MGYG000303947	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella timonensis_A	SAMEA111539179	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303947/genomes1/MGYG000304047.gff.gz
MGYG000304048	MAG	1243308	173	9119	42.08	77.69	0.46	0.00	0.00	0.00	15	CAMXWD01	MGYG000303825	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	SAMEA111539190	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303825/genomes1/MGYG000304048.gff.gz
MGYG000304049	MAG	1425967	16	145558	39.13	89.6	0.0	0.00	0.00	0.00	18	CAMXWE01	MGYG000304049	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__Fastidiosipilaceae;g__KA00274;s__KA00274 sp001552885	SAMEA111539195	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304049/genomes1/MGYG000304049.gff.gz
MGYG000304050	MAG	2239458	28	115522	58.72	96.67	0.48	0.00	0.00	0.00	19	CAMXWF01	MGYG000304050	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__CAJPTX01;g__Bacteroides_D;s__	SAMEA111539016	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304050/genomes1/MGYG000304050.gff.gz
MGYG000304051	MAG	1404753	20	111855	49.93	100	0.0	0.00	0.00	0.00	20	CAMXWG01	MGYG000304014	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Fannyhessea;s__	SAMEA111539127	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304014/genomes1/MGYG000304051.gff.gz
MGYG000304052	MAG	1507265	39	66649	40.7	95.63	0.0	0.00	0.00	0.00	20	CAMXWH01	MGYG000303726	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale_F	SAMEA111539035	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003037/MGYG000303726/genomes1/MGYG000304052.gff.gz
MGYG000304053	MAG	1073369	194	6294	42.1	62.51	0.27	0.00	0.00	0.00	8	CAMXWI01	MGYG000304053	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__	SAMEA111539074	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304053/genomes1/MGYG000304053.gff.gz
MGYG000304054	MAG	795888	183	4337	37.82	51.17	0.0	0.00	0.00	0.00	6	CAMXWJ01	MGYG000303907	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Ezakiella;s__Ezakiella coagulans	SAMEA111539044	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303907/genomes1/MGYG000304054.gff.gz
MGYG000304055	MAG	2638955	134	33311	47.66	98.84	0.43	0.00	0.00	0.00	18	CAMXWK01	MGYG000303847	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	SAMEA111539075	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303847/genomes1/MGYG000304055.gff.gz
MGYG000304056	MAG	1750756	36	76803	38.83	99.53	0.35	0.00	0.00	0.00	14	CAMXWL01	MGYG000304056	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus anginosus	SAMEA111539123	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304056/genomes1/MGYG000304056.gff.gz
MGYG000304057	MAG	1286540	15	138820	32.52	98.86	0.0	0.00	0.00	0.00	16	CAMXWM01	MGYG000304057	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus iners	SAMEA111539091	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304057/genomes1/MGYG000304057.gff.gz
MGYG000304058	MAG	2447490	48	93092	64.84	97.99	0.66	0.00	0.00	0.00	14	CAMXWN01	MGYG000304058	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp001831515	SAMEA111539261	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304058/genomes1/MGYG000304058.gff.gz
MGYG000304059	MAG	2549023	86	57374	42.16	96.98	0.0	0.00	0.00	0.00	17	CAMXWP01	MGYG000303947	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella timonensis_A	SAMEA111539203	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303947/genomes1/MGYG000304059.gff.gz
MGYG000304060	MAG	1416541	22	155875	28.23	98.88	0.0	0.00	0.00	0.00	17	CAMXWQ01	MGYG000303840	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Sneathia;s__Sneathia vaginalis	SAMEA111539177	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303840/genomes1/MGYG000304060.gff.gz
MGYG000304061	MAG	1357243	274	5254	49.37	57.7	0.71	0.00	0.00	0.00	7	CAMXWR01	MGYG000303847	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	SAMEA111539318	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303847/genomes1/MGYG000304061.gff.gz
MGYG000304062	MAG	2121714	82	50854	59.75	95.9	2.83	0.00	0.00	0.00	15	CAMXWS01	MGYG000304062	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__	SAMEA111539096	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304062/genomes1/MGYG000304062.gff.gz
MGYG000304063	MAG	1490037	17	215146	42.42	100	0.0	0.00	0.00	0.00	19	CAMXWT01	MGYG000303994	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium piotii	SAMEA111539090	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303994/genomes1/MGYG000304063.gff.gz
MGYG000304064	MAG	701744	179	3807	40.89	52.22	0.0	0.00	0.00	0.00	9	CAMXWU01	MGYG000304222	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp001553355	SAMEA111539039	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304222/genomes1/MGYG000304064.gff.gz
MGYG000304065	MAG	2322852	27	177741	65.86	99.42	0.0	0.00	0.00	0.00	20	CAMXWV01	MGYG000304065	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Dermabacteraceae;g__Helcobacillus;s__	SAMEA111539094	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304065/genomes1/MGYG000304065.gff.gz
MGYG000304066	MAG	1966943	19	244129	58.61	96.18	0.0	0.00	0.00	0.00	20	CAMXWW01	MGYG000304066	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Lawsonella;s__Lawsonella sp018376445	SAMEA111539111	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304066/genomes1/MGYG000304066.gff.gz
MGYG000304067	MAG	1176563	87	23354	42.51	69.04	2.35	0.00	0.00	0.00	19	CAMXWX01	MGYG000303994	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium piotii	SAMEA111539175	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303994/genomes1/MGYG000304067.gff.gz
MGYG000304068	MAG	1518485	8	802904	42.56	100	0.0	0.00	0.00	0.00	20	CAMXWY01	MGYG000304068	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Fannyhessea;s__Fannyhessea vaginae	SAMEA111539087	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304068/genomes1/MGYG000304068.gff.gz
MGYG000304069	MAG	1502525	118	18710	44.32	96.08	0.0	0.00	0.00	0.00	14	CAMXWZ01	MGYG000304069	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Urinicoccus;s__Urinicoccus massiliensis	SAMEA111539229	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304069/genomes1/MGYG000304069.gff.gz
MGYG000304070	MAG	1322448	110	20552	28.01	84.55	1.42	0.00	0.00	0.00	8	CAMXXA01	MGYG000304070	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Helcococcus;s__Helcococcus sueciensis	SAMEA111539113	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304070/genomes1/MGYG000304070.gff.gz
MGYG000304071	MAG	2636126	230	16086	38.8	93.75	0.07	0.00	0.00	0.00	17	CAMXXB01	MGYG000303877	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	SAMEA111539076	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303877/genomes1/MGYG000304071.gff.gz
MGYG000304072	MAG	2574045	221	16473	70.47	92.68	0.27	0.00	0.00	0.00	16	CAMXXC01	MGYG000304072	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium lacticum	SAMEA111539275	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304072/genomes1/MGYG000304072.gff.gz
MGYG000304073	MAG	2092480	144	21530	44.4	93.56	0.05	0.00	0.00	0.00	18	CAMXXD01	MGYG000304073	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella brunnea	SAMEA111539251	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304073/genomes1/MGYG000304073.gff.gz
MGYG000304074	MAG	2550723	88	50352	46.88	96.46	0.68	0.00	0.00	0.00	18	CAMXXE01	MGYG000304074	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp015259235	SAMEA111539208	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304074/genomes1/MGYG000304074.gff.gz
MGYG000304075	MAG	1942254	46	75417	52.4	95.99	1.27	0.00	0.00	0.00	20	CAMXXF01	MGYG000303955	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Stomatobaculum;s__Stomatobaculum sp002892395	SAMEA111539197	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003039/MGYG000303955/genomes1/MGYG000304075.gff.gz
MGYG000304076	MAG	1462355	51	54828	43.11	97.34	0.0	0.00	0.00	0.00	20	CAMXXG01	MGYG000303794	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium vaginale_E	SAMEA111539326	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003037/MGYG000303794/genomes1/MGYG000304076.gff.gz
MGYG000304077	MAG	1234083	284	4248	59.99	57.16	0.0	0.00	0.00	0.00	8	CAMXXH01	MGYG000304120	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp900539985	SAMEA111539060	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304120/genomes1/MGYG000304077.gff.gz
MGYG000304078	MAG	702464	7	135464	25.26	99.05	0.0	0.00	0.00	0.00	20	CAMXXI01	MGYG000304078	d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmoidaceae;g__Ureaplasma;s__Ureaplasma parvum	SAMEA111539322	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304078/genomes1/MGYG000304078.gff.gz
MGYG000304079	MAG	1710123	21	106394	44.31	93.74	0.0	0.00	0.00	0.00	19	CAMXXJ01	MGYG000304079	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Saccharofermentanales;f__Fastidiosipilaceae;g__Mageeibacillus;s__Mageeibacillus indolicus	SAMEA111539032	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304079/genomes1/MGYG000304079.gff.gz
MGYG000304080	MAG	1418152	23	102884	48.79	100	0.0	0.00	0.00	0.00	20	CAMXXK01	MGYG000303805	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Fannyhessea;s__	SAMEA111539079	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303805/genomes1/MGYG000304080.gff.gz
MGYG000304081	MAG	1908358	109	24893	35.39	97.87	0.3	0.00	0.00	0.00	14	CAMXXL01	MGYG000304230	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus agalactiae	SAMEA111539323	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304230/genomes1/MGYG000304081.gff.gz
MGYG000304082	MAG	1563720	258	7144	56.68	78.32	0.71	0.00	0.00	0.00	18	CAMXXM01	MGYG000304082	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__	SAMEA111539138	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304082/genomes1/MGYG000304082.gff.gz
MGYG000304083	MAG	775268	156	5458	39.36	59.74	0.85	0.00	0.00	0.00	2	CAMXXN01	MGYG000303873	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Falseniella;s__Falseniella ignava	SAMEA111539273	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303873/genomes1/MGYG000304083.gff.gz
MGYG000304084	MAG	2143098	80	38365	49.71	98.9	0.0	0.00	0.00	0.00	17	CAMXXO01	MGYG000304084	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus oris	SAMEA111539284	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003040/MGYG000304084/genomes1/MGYG000304084.gff.gz
MGYG000304085	MAG	1463463	121	16644	31.86	93.56	0.61	0.00	0.00	0.00	12	CAMXXP01	MGYG000304221	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Finegoldia;s__Finegoldia magna_H	SAMEA111539013	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304221/genomes1/MGYG000304085.gff.gz
MGYG000304086	MAG	1456862	39	51545	34.97	86.56	0.0	0.00	0.00	0.00	17	CAMXXQ01	MGYG000304272	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri	SAMEA111539319	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003042/MGYG000304272/genomes1/MGYG000304086.gff.gz
MGYG000304087	MAG	578348	36	27937	26.57	90.98	0.0	0.00	0.00	0.00	17	CAMXXR01	MGYG000303858	d__Bacteria;p__Bacillota;c__Bacilli;o__Mycoplasmatales;f__Metamycoplasmataceae;g__Metamycoplasma;s__Metamycoplasma hominis	SAMEA111539070	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003038/MGYG000303858/genomes1/MGYG000304087.gff.gz
MGYG000304088	MAG	819220	59	17798	42.99	58.22	0.0	0.00	0.00	0.00	17	CAMXXT01	MGYG000304104	d__Bacteria;p__Actinomycetota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	SAMEA111539064	ERP141739	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/human-vaginal/v1.0/all_genomes/MGYG0003041/MGYG000304104/genomes1/MGYG000304088.gff.gz
